OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,AECC_CSWS,Zone,887932,3186,Y, , , ,AEPM_CSWS,Scott,AR,-99,-99,AECC_CSWS,26.800000000000001,25.520000000000000,27.820000000000000,0.000000000000000,34.836668000000031,-93.874432999999954
-1,AECC_FITZHUGH,Generator,888203,3190,Y,Fitzhugh,CC1, ,AEPM_CSWS,Franklin,AR,74365,593752,AECC_FITZHUGH,27.270000000000000,26.160000000000000,28.170000000000002,0.000000000000000,35.462280000000078,-93.804978999999946
-1,AECC_FLTCREEK,Generator,888206,3191,Y,Flint Creek (AR),1, ,AEPM_CSWS,Benton,AR,1742,387120,AECC_FLTCREEK,26.660000000000000,24.960000000000001,28.020000000000000,0.000000000000000,36.255799000000025,-94.523591999999951
-1,AECC_FULTON,Generator,888226,3192,Y,Fulton (AR),1, ,AEPM_CSWS,Hempstead,AR,74494,396434,AECC_FULTON,24.750000000000000,23.500000000000000,25.750000000000000,0.000000000000000,33.609793000000025,-93.792493999999976
-1,AECC_HYDRO13,Generator,886676,3193,Y,Ellis (AR),1, ,AEPM_CSWS,Crawford,AR,74220,395946,AECC_HYDRO13,26.250000000000000,24.910000000000000,27.329999999999998,0.000000000000000,35.351825000000076,-94.296276999999975
-1,AECC_JWTURK,Generator,1820944,3194,Y,John W Turk Jr Power Plant,ST1, ,AEPM_CSWS,Hempstead,AR,874697,870624,AECC_JWTURK,25.350000000000001,24.579999999999998,25.969999999999999,0.000000000000000,33.650347000000068,-93.811825999999940
-1,AECI,Interface,887928,3196,Y, , , ,Unknown,Wright,MO,-99,-99,AECI,24.010000000000002,22.030000000000001,25.590000000000000,0.000000000000000,37.146398000000033,-92.593804999999975
-1,AEPM_CSWS,Zone,887934,3216,Y, , , ,AEPM_CSWS,Polk,AR,-99,-99,AEPM_CSWS,25.750000000000000,24.329999999999998,26.879999999999999,0.000000000000000,34.190711000000078,-94.383154999999988
-1,AMRN,Interface,887929,4236,Y, , , ,Unknown,Saint Louis,MO,-99,-99,AMRN,23.520000000000000,21.730000000000000,24.949999999999999,0.000000000000000,38.725127000000043,-90.430276999999990
-1,ANTELOPE,Generator,1445121,4301,Y,Antelope Station,IC1, ,SPS_SPS,Hale,TX,1217825,1217829,ANTELOPE,17.350000000000001,12.160000000000000,21.500000000000000,0.000000000000000,33.865646000000027,-101.843588999999952
-1,BEPM_RM_NPPD,Zone,1217986,5513,Y, , , ,NPPD_NPPD,Cherry,NE,-99,-99,BEPM_RM_NPPD,20.250000000000000,17.440000000000001,22.510000000000002,0.000000000000000,42.846125000000029,-101.197394999999972
-1,BEPM_TS_NPPD,Zone,1217987,5514,Y, , , ,NPPD_NPPD,Garden,NE,-99,-99,BEPM_TS_NPPD,14.949999999999999,12.420000000000000,16.969999999999999,0.000000000000000,41.889492000000075,-102.631132999999977
-1,BLKW,Interface,887930,5854,Y, , , ,Unknown,Roosevelt,NM,-99,-99,BLKW,18.579999999999998,14.029999999999999,22.219999999999999,0.000000000000000,34.301176000000055,-103.174315999999976
-1,BLUECANYON5,Generator,1313676,5906,Y,Blue Canyon Wind,WT130 195, ,WFEC_WFEC,Comanche,OK,587472,1164340,BLUECANYON5,24.850000000000001,22.320000000000000,26.870000000000001,0.000000000000000,34.845470000000034,-98.561388999999963
-1,BLUECANYON6,Generator,1584189,5907,Y,Blue Canyon Wind,WT196 250, ,WFEC_WFEC,Comanche,OK,587472,1479568,BLUECANYON6,22.809999999999999,19.230000000000000,25.670000000000002,0.000000000000000,34.845470000000034,-98.561388999999963
-1,BOOMER_LAKE_2,Generator,1963515,6047,Y,Boomer Lake Station,2, ,GRDA_GRDA,Payne,OK,73271,394105,BOOMER_LAKE_2,26.629999999999999,24.250000000000000,29.440000000000001,0.000000000000000,36.143809000000033,-97.067962999999963
-1,BUFFALO_DUNES_WIND,Generator,2000444,6783,Y,Buffalo Dunes Wind Project,WT1 135, ,SPS_SPS,Grant,KS,1675235,1675237,BUFFALO_DUNES_WIND,12.400000000000000,5.510000000000000,17.920000000000002,0.000000000000000,37.647694000000058,-101.199290999999960
-1,CANADIAN_HILLS_1,Generator,1879533,7374,Y,Canadian Hills Wind Farm,WT1 73, ,OKGE_OKGE,Canadian,OK,1649755,1649757,CANADIAN_HILLS_1,20.699999999999999,16.250000000000000,24.260000000000002,0.000000000000000,35.656872000000078,-98.093043999999963
-1,CANADIAN_HILLS_2,Generator,1879534,7375,Y,Canadian Hills Wind Farm,WT74 135, ,OKGE_OKGE,Canadian,OK,1649755,1744545,CANADIAN_HILLS_2,20.699999999999999,16.250000000000000,24.260000000000002,0.000000000000000,35.656872000000078,-98.093043999999963
-1,CANADIAN_HILLS_3,Generator,1901637,7376,Y,Canadian Hills Wind Farm,WT74 135, ,GRDA_GRDA,Canadian,OK,1649755,1744545,CANADIAN_HILLS_3,20.699999999999999,16.250000000000000,24.260000000000002,0.000000000000000,35.656872000000078,-98.093043999999963
-1,CANADIAN_HILLS_4,Generator,1879535,7377,Y,Canadian Hills Wind Farm,WT74 135, ,OKGE_OKGE,Canadian,OK,1649755,1744545,CANADIAN_HILLS_4,20.699999999999999,16.250000000000000,24.260000000000002,0.000000000000000,35.656872000000078,-98.093043999999963
-1,CANADIAN_HILLS_5,Generator,1901639,7378,Y,Canadian Hills Wind Farm,WT74 135, ,OKGE_OKGE,Canadian,OK,1649755,1744545,CANADIAN_HILLS_5,20.699999999999999,16.250000000000000,24.260000000000002,0.000000000000000,35.656872000000078,-98.093043999999963
-1,CANEY_RIVER_WINDPOWER,Generator,1575894,7392,Y,Caney River Wind Farm,WT1 111, ,WR_WR,Elk,KS,737249,737250,CANEY_RIVER_WINDPOWER,20.590000000000000,16.600000000000001,23.780000000000001,0.000000000000000,37.424100000000067,-96.427777999999989
-1,CASS_CO_1,Generator,1171094,7671,Y,Cass County,GT1, ,OPPD_OPPD,Cass,NE,74498,586286,CASS_CO_1,20.680000000000000,18.090000000000000,22.750000000000000,0.000000000000000,40.948870000000056,-95.964175999999952
-1,CASS_CO_2,Generator,1171095,7672,Y,Cass County,GT2, ,OPPD_OPPD,Cass,NE,74498,586287,CASS_CO_2,20.680000000000000,18.090000000000000,22.750000000000000,0.000000000000000,40.948870000000056,-95.964175999999952
-1,CLEC,Interface,887931,8944,Y, , , ,Unknown,De Soto Parish,LA,-99,-99,CLEC,23.520000000000000,21.730000000000000,24.949999999999999,0.000000000000000,31.973494000000073,-93.772907999999973
-1,COFFEYVILLE_6,Generator,1916060,9230,Y,Coffeyville,6, ,GRDA_GRDA,Montgomery,KS,2455,393022,COFFEYVILLE_6,22.350000000000001,19.210000000000001,24.859999999999999,0.000000000000000,37.037557000000049,-95.612576999999987
-1,COFFEYVILLE_7,Generator,1916061,9231,Y,Coffeyville,7, ,GRDA_GRDA,Montgomery,KS,2455,393023,COFFEYVILLE_7,22.350000000000001,19.210000000000001,24.859999999999999,0.000000000000000,37.037557000000049,-95.612576999999987
-1,COWP_GEN1,Generator,2019440,10029,Y,West Plains Peaker,GT1, ,WR_WR,Howell,MO,2094247,2094249,COWP_GEN1,25.079999999999998,23.730000000000000,26.160000000000000,0.000000000000000,36.750103000000024,-91.866706999999963
-1,COWP_GEN2,Generator,2019441,10030,Y,West Plains Peaker,GT2, ,WR_WR,Howell,MO,2094247,2094250,COWP_GEN2,25.079999999999998,23.730000000000000,26.160000000000000,0.000000000000000,36.750103000000024,-91.866706999999963
-1,CSWARSENALHILL5,Generator,887990,10401,Y,Arsenal Hill,5, ,AEPM_CSWS,Caddo Parish,LA,1317,387855,CSWARSENALHILL5,25.760000000000002,24.750000000000000,26.559999999999999,0.000000000000000,32.518290000000036,-93.762054999999975
-1,CSWCOMANCHE1,Generator,888117,10403,Y,Comanche (OK),CC, ,AEPM_CSWS,Comanche,OK,1823,584427,CSWCOMANCHE1,23.620000000000001,20.480000000000000,26.120000000000001,0.000000000000000,34.543768000000057,-98.324497999999949
-1,CSWDOLET1,Generator,888154,10404,Y,Dolet Hills,1, ,AEPM_CSWS,De Soto Parish,LA,2248,392127,CSWDOLET1,25.390000000000001,24.359999999999999,26.219999999999999,0.000000000000000,32.030962000000045,-93.568794999999966
-1,CSWELKCITY,Generator,1217936,10405,Y,Elk City Wind (NextEra),WT1 43, ,AEPM_CSWS,Roger Mills,OK,1164342,1164344,CSWELKCITY,19.760000000000002,14.699999999999999,23.809999999999999,0.000000000000000,35.527847000000065,-99.882213999999976
-1,CSWFLINTCREEK1,Generator,888205,10406,Y,Flint Creek (AR),1, ,AEPM_CSWS,Benton,AR,1742,387120,CSWFLINTCREEK1,26.660000000000000,24.960000000000001,28.020000000000000,0.000000000000000,36.255799000000025,-94.523591999999951
-1,CSWJLSTALL,Generator,1217938,10407,Y,Arsenal Hill,CC, ,AEPM_CSWS,Caddo Parish,LA,1317,870620,CSWJLSTALL,25.520000000000000,24.550000000000001,26.300000000000001,0.000000000000000,32.518290000000036,-93.762054999999975
-1,CSWKNOXLEE2,Generator,886648,10408,Y,Knox Lee,2, ,AEPM_CSWS,Gregg,TX,1605,389059,CSWKNOXLEE2,25.590000000000000,24.730000000000000,26.270000000000000,0.000000000000000,32.376509000000055,-94.641604999999970
-1,CSWKNOXLEE3,Generator,886649,10409,Y,Knox Lee,3, ,AEPM_CSWS,Gregg,TX,1605,389060,CSWKNOXLEE3,25.590000000000000,24.730000000000000,26.270000000000000,0.000000000000000,32.376509000000055,-94.641604999999970
-1,CSWKNOXLEE4,Generator,886650,10410,Y,Knox Lee,4, ,AEPM_CSWS,Gregg,TX,1605,389061,CSWKNOXLEE4,25.590000000000000,24.730000000000000,26.270000000000000,0.000000000000000,32.376509000000055,-94.641604999999970
-1,CSWKNOXLEE5,Generator,886651,10411,Y,Knox Lee,5, ,AEPM_CSWS,Gregg,TX,1605,389062,CSWKNOXLEE5,25.590000000000000,24.730000000000000,26.270000000000000,0.000000000000000,32.376509000000055,-94.641604999999970
-1,CSWLIEBERMAN2,Generator,886689,10413,Y,Lieberman,2, ,AEPM_CSWS,Caddo Parish,LA,1318,387857,CSWLIEBERMAN2,25.809999999999999,24.829999999999998,26.600000000000001,0.000000000000000,32.704585000000066,-93.961197999999968
-1,CSWLIEBERMAN3,Generator,886690,10414,Y,Lieberman,3, ,AEPM_CSWS,Caddo Parish,LA,1318,387858,CSWLIEBERMAN3,25.809999999999999,24.829999999999998,26.600000000000001,0.000000000000000,32.704585000000066,-93.961197999999968
-1,CSWLIEBERMAN4,Generator,886691,10415,Y,Lieberman,4, ,AEPM_CSWS,Caddo Parish,LA,1318,387859,CSWLIEBERMAN4,25.809999999999999,24.829999999999998,26.600000000000001,0.000000000000000,32.704585000000066,-93.961197999999968
-1,CSWLONESTAR1,Generator,886709,10416,Y,Lone Star,1, ,AEPM_CSWS,Morris,TX,1606,389063,CSWLONESTAR1,25.879999999999999,25.039999999999999,26.550000000000001,0.000000000000000,32.925962000000027,-94.709699999999941
-1,CSWMAJESTICWIND,Generator,1157169,10417,Y,High Majestic Wind,WT1 53, ,SPS_SPS,Carson,TX,1150904,1150906,CSWMAJESTICWIND,9.470000000000001,1.620000000000000,15.750000000000000,0.000000000000000,35.390589000000034,-101.521827999999971
-1,CSWMATTISON1,Generator,914545,10418,Y,Harry D Mattison Power Plant,GT1, ,AEPM_CSWS,Washington,AR,588071,870468,CSWMATTISON1,26.850000000000001,25.180000000000000,28.190000000000001,0.000000000000000,36.185485000000028,-94.284245999999939
-1,CSWMATTISON2,Generator,914546,10419,Y,Harry D Mattison Power Plant,GT2, ,AEPM_CSWS,Washington,AR,588071,875640,CSWMATTISON2,26.850000000000001,25.180000000000000,28.190000000000001,0.000000000000000,36.185485000000028,-94.284245999999939
-1,CSWMATTISON3,Generator,912757,10420,Y,Harry D Mattison Power Plant,GT3, ,AEPM_CSWS,Washington,AR,588071,875641,CSWMATTISON3,26.850000000000001,25.180000000000000,28.190000000000001,0.000000000000000,36.185485000000028,-94.284245999999939
-1,CSWMATTISON4,Generator,912758,10421,Y,Harry D Mattison Power Plant,GT4, ,AEPM_CSWS,Washington,AR,588071,875642,CSWMATTISON4,26.850000000000001,25.180000000000000,28.190000000000001,0.000000000000000,36.185485000000028,-94.284245999999939
-1,CSWMINDEN1,Generator,886759,10422,Y,Minden,1, ,AEPM_CSWS,Webster Parish,LA,75878,387429,CSWMINDEN1,29.039999999999999,27.489999999999998,30.270000000000000,0.000000000000000,32.608172000000025,-93.292851999999982
